-2.000000000000000000e+00 -1.833333333333333481e+00 -1.666666666666666741e+00 -1.500000000000000000e+00 -1.333333333333333481e+00 -1.166666666666666519e+00 -1.000000000000000000e+00 nan nan nan nan nan
-1.750000000000000000e+00 -1.583333333333333481e+00 -1.416666666666666741e+00 -1.250000000000000000e+00 -1.083333333333333481e+00 -9.166666666666666297e-01 -8.750000000000000000e-01 nan nan nan nan nan
-1.500000000000000000e+00 -1.333333333333333481e+00 -1.166666666666666741e+00 -1.000000000000000000e+00 -8.333333333333333703e-01 -7.500000000000000000e-01 -7.500000000000000000e-01 nan nan nan nan nan
-1.250000000000000000e+00 -1.083333333333333481e+00 -9.166666666666667407e-01 -7.500000000000000000e-01 -6.250000000000000000e-01 -6.250000000000000000e-01 -6.250000000000000000e-01 nan nan nan nan nan
-1.000000000000000000e+00 -8.333333333333333703e-01 -6.666666666666667407e-01 -5.000000000000000000e-01 -5.000000000000000000e-01 -5.000000000000000000e-01 -5.000000000000000000e-01 nan nan nan nan nan
-7.500000000000000000e-01 -5.833333333333333703e-01 -4.166666666666666852e-01 -3.750000000000000000e-01 -3.750000000000000555e-01 -3.750000000000000000e-01 -3.750000000000000000e-01 nan nan nan nan nan
-5.000000000000000000e-01 -3.333333333333333703e-01 -2.500000000000000000e-01 -2.500000000000000000e-01 -2.500000000000000555e-01 -2.500000000000000000e-01 -2.500000000000000000e-01 nan nan nan nan nan
-2.500000000000000000e-01 -1.250000000000000000e-01 -1.250000000000000000e-01 -1.250000000000000000e-01 -1.250000000000000000e-01 -1.250000000000000000e-01 -1.250000000000000000e-01 nan nan nan nan nan
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 nan nan nan nan nan
2.507836990595611049e-01 1.253918495297805524e-01 1.253918495297805524e-01 1.253918495297805524e-01 1.253918495297804969e-01 1.253918495297805247e-01 1.253918495297805524e-01 nan nan nan nan nan
5.015673981191222097e-01 3.349007314524555801e-01 2.507836990595611049e-01 2.507836990595611049e-01 2.507836990595610493e-01 2.507836990595611049e-01 2.507836990595611049e-01 nan nan nan nan nan
7.523510971786835366e-01 5.856844305120169070e-01 4.190177638453503328e-01 3.761755485893417683e-01 3.761755485893418238e-01 3.761755485893417683e-01 3.761755485893417683e-01 nan nan nan nan nan
1.003134796238244419e+00 8.364681295715779008e-01 6.698014629049113822e-01 5.031347962382445305e-01 5.015673981191222097e-01 5.015673981191223207e-01 5.015673981191222097e-01 nan nan nan nan nan
1.253918495297805524e+00 1.087251828631139006e+00 9.205851619644724870e-01 7.539184952978056353e-01 6.269592476489027622e-01 6.269592476489028732e-01 6.269592476489027622e-01 nan nan nan nan nan
1.504702194357366851e+00 1.338035527690700333e+00 1.171368861024033592e+00 1.004702194357366851e+00 8.380355276907001105e-01 7.523510971786834256e-01 7.523510971786834256e-01 nan nan nan nan nan
1.755485893416927956e+00 1.588819226750261437e+00 1.422152560083594697e+00 1.255485893416927956e+00 1.088819226750261215e+00 9.221525600835944747e-01 8.777429467084639780e-01 nan nan nan nan nan
